names,short
Nycticebus_bengalensis Otolemur_garnettii Lemur_catta Homo_sapiens,NYCBEN_OTOGAR_LEMCAT_HOMSAP
Loris_tardigradus Nycticebus_bengalensis Otolemur_garnettii Lemur_catta,LORTAR_NYCBEN_OTOGAR_LEMCAT
Nycticebus_bengalensis Nycticebus_pygmaeus Loris_tardigradus Otolemur_garnettii,NYCBEN_NYCPYG_LORTAR_OTOGAR
Galago_moholi Otolemur_garnettii Nycticebus_bengalensis Lemur_catta,GALMOH_OTOGAR_NYCBEN_LEMCAT
Daubentonia_madagascariensis Lemur_catta Nycticebus_bengalensis Homo_sapiens,DAUMAD_LEMCAT_NYCBEN_HOMSAP
Lemur_catta Microcebus_murinus Daubentonia_madagascariensis Homo_sapiens,LEMCAT_MICMUR_DAUMAD_HOMSAP
Lemur_catta Prolemur_simus Microcebus_murinus Daubentonia_madagascariensis,LEMCAT_PROSIM_MICMUR_DAUMAD
Homo_sapiens Macaca_mulatta Saguinus_midas Lemur_catta,HOMSAP_MACMUL_SAGMID_LEMCAT
Homo_sapiens Hylobates_lar Macaca_mulatta Saguinus_midas,HOMSAP_HYLLAR_MACMUL_SAGMID
Homo_sapiens Pongo_abelii Hylobates_lar Macaca_mulatta,HOMSAP_PONABE_HYLLAR_MACMUL
Gorilla_gorilla_gorilla Homo_sapiens Pongo_abelii Macaca_mulatta,GORGOR_HOMSAP_PONABE_MACMUL
Homo_sapiens Pan_troglodytes Gorilla_gorilla_gorilla Pongo_abelii,HOMSAP_PANTRO_GORGOR_PONABE
Pan_paniscus Pan_troglodytes Homo_sapiens Pongo_abelii,PANPAN_PANTRO_HOMSAP_PONABE
Pongo_abelii Pongo_pygmaeus Homo_sapiens Macaca_mulatta,PONABE_PONPYG_HOMSAP_MACMUL
Hylobates_lar Nomascus_leucogenys Homo_sapiens Macaca_mulatta,HYLLAR_NOMLEU_HOMSAP_MACMUL
Hylobates_lar Symphalangus_syndactylus Nomascus_leucogenys Homo_sapiens,HYLLAR_SYMSYN_NOMLEU_HOMSAP
Hoolock_hoolock Symphalangus_syndactylus Hylobates_lar Homo_sapiens,HOOHOO_SYMSYN_HYLLAR_HOMSAP
Hylobates_lar Hylobates_pileatus Symphalangus_syndactylus Homo_sapiens,HYLLAR_HYLPIL_SYMSYN_HOMSAP
Colobus_guereza Macaca_mulatta Homo_sapiens Saguinus_midas,COLGUE_MACMUL_HOMSAP_SAGMID
Cercopithecus_mona Macaca_mulatta Colobus_guereza Homo_sapiens,CERMON_MACMUL_COLGUE_HOMSAP
Macaca_mulatta Mandrillus_sphinx Cercopithecus_mona Homo_sapiens,MACMUL_MANSPH_CERMON_HOMSAP
Macaca_mulatta Macaca_silenus Mandrillus_sphinx Colobus_guereza,MACMUL_MACSIL_MANSPH_COLGUE
Macaca_nemestrina Macaca_silenus Macaca_mulatta Mandrillus_sphinx,MACNEM_MACSIL_MACMUL_MANSPH
Macaca_assamensis Macaca_mulatta Macaca_silenus Mandrillus_sphinx,MACASS_MACMUL_MACSIL_MANSPH
Mandrillus_sphinx Papio_hamadryas Macaca_mulatta Colobus_guereza,MANSPH_PAPHAM_MACMUL_COLGUE
Cercocebus_atys Mandrillus_sphinx Papio_hamadryas Colobus_guereza,CERATY_MANSPH_PAPHAM_COLGUE
Mandrillus_leucophaeus Mandrillus_sphinx Cercocebus_atys Colobus_guereza,MANLEU_MANSPH_CERATY_COLGUE
Papio_hamadryas Theropithecus_gelada Mandrillus_sphinx Colobus_guereza,PAPHAM_THEGEL_MANSPH_COLGUE
Lophocebus_aterrimus Papio_hamadryas Theropithecus_gelada Colobus_guereza,LOPATE_PAPHAM_THEGEL_COLGUE
Papio_anubis Papio_hamadryas Lophocebus_aterrimus Colobus_guereza,PAPANU_PAPHAM_LOPATE_COLGUE
Cercopithecus_mona Chlorocebus_sabaeus Macaca_mulatta Colobus_guereza,CERMON_CHLSAB_MACMUL_COLGUE
Chlorocebus_sabaeus Erythrocebus_patas Cercopithecus_mona Colobus_guereza,CHLSAB_ERYPAT_CERMON_COLGUE
Chlorocebus_aethiops Chlorocebus_sabaeus Erythrocebus_patas Cercopithecus_mona,CHLAET_CHLSAB_ERYPAT_CERMON
Cercopithecus_mitis Cercopithecus_mona Chlorocebus_sabaeus Colobus_guereza,CERMIT_CERMON_CHLSAB_COLGUE
Colobus_guereza Trachypithecus_phayrei Macaca_mulatta Homo_sapiens,COLGUE_TRAPHA_MACMUL_HOMSAP
Rhinopithecus_roxellana Trachypithecus_phayrei Colobus_guereza Macaca_mulatta,RHIROX_TRAPHA_COLGUE_MACMUL
Pygathrix_nemaeus Rhinopithecus_roxellana Trachypithecus_phayrei Colobus_guereza,PYGNEM_RHIROX_TRAPHA_COLGUE
Rhinopithecus_roxellana Rhinopithecus_strykeri Pygathrix_nemaeus Colobus_guereza,RHIROX_RHISTR_PYGNEM_COLGUE
Colobus_guereza Piliocolobus_tephrosceles Trachypithecus_phayrei Macaca_mulatta,COLGUE_PILTEP_TRAPHA_MACMUL
Colobus_angolensis_palliatus Colobus_guereza Piliocolobus_tephrosceles Macaca_mulatta,COLANG_COLGUE_PILTEP_MACMUL
Pithecia_pithecia Saguinus_midas Homo_sapiens Lemur_catta,PITPIT_SAGMID_HOMSAP_LEMCAT
Ateles_fusciceps Saguinus_midas Pithecia_pithecia Homo_sapiens,ATEFUS_SAGMID_PITPIT_HOMSAP
